AUID,ParentID,QuotaTokens,HierarchyLevel
0DC8D635-132A-44A7-8A66-0148ABF9B330,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
569515E5-722D-4898-A6C3-01E02B964364,7F1599B3-D610-48E4-9F8A-E83476AC7ECB,147,4
B5960051-D993-4E9A-B09D-090EDECA54C2,NULL,0,0
AF2B0993-27AB-4D5B-BF57-114F767DC540,62D48902-A27F-4C58-8BCA-4B131418B8E2,120,3
C41C3032-1FE0-4FE1-A9BD-16D26AE7D75A,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
451D96E7-A65C-4923-94A2-1839B0508D12,66747918-3562-4958-BF13-B70EEF337145,0,3
CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,66747918-3562-4958-BF13-B70EEF337145,29125,3
EEF1E827-A68E-4E36-B251-21AA10A1D1A7,F07090EC-B3CA-4D92-851F-48EAE4F2AF14,0,4
43F21CC4-4E96-4072-A3A1-23AE5F68398E,9122DE50-7598-4287-B17C-507584B95F64,2000,3
D965C081-7603-49F3-BA4E-26D245D2A278,F07090EC-B3CA-4D92-851F-48EAE4F2AF14,0,4
DD15F9D9-0E28-49F7-A00D-28EE64BE6918,9122DE50-7598-4287-B17C-507584B95F64,7500,3
4BD38FEB-4941-4CA4-BB0A-2A64577D460F,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
71A17374-02C1-4722-AD63-31CDBEBB8850,66747918-3562-4958-BF13-B70EEF337145,0,3
F95CEDE6-3C3F-4E0F-B895-31F2FE59AC58,DD5EF4E3-5AB3-4E53-B022-DA15033B3B99,0,4
7C475EBF-3E1E-40F2-863E-3DDDE132645D,A94FF45A-AF49-444E-A367-69A499BF757E,3984,4
8C38218C-8836-4F4D-8D0C-438BBB180685,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
286FC9E9-0CA1-43E6-A544-4814CC6999B2,F07090EC-B3CA-4D92-851F-48EAE4F2AF14,0,4
F07090EC-B3CA-4D92-851F-48EAE4F2AF14,901DC944-B0AC-4E7B-BF4D-E5EF8CD12A98,0,3
62D48902-A27F-4C58-8BCA-4B131418B8E2,8F43CF77-AA8E-4B16-BC69-DCEEA5101A2C,24500,2
F5E700C8-7DB3-47C9-9A30-4B3455C872AF,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
2403B178-CFE1-409F-AC98-4FF4F7061CB6,0E9516C1-A2AC-4FF6-A917-A8D7C9B99CB6,102259,1
9122DE50-7598-4287-B17C-507584B95F64,8F43CF77-AA8E-4B16-BC69-DCEEA5101A2C,9500,2
A875028A-7A3E-42CB-8BDD-520FD8A40C4D,F07090EC-B3CA-4D92-851F-48EAE4F2AF14,0,4
C61A1C40-8670-42D9-B27D-598A7C23A3AF,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
8A88074E-63CC-4D64-B073-59FA18D7A926,F07090EC-B3CA-4D92-851F-48EAE4F2AF14,0,4
D6A9F2C9-5D9C-4EFD-88F9-5E4E5BECC6C3,66747918-3562-4958-BF13-B70EEF337145,97,3
05DC9AA2-C296-4D68-902B-6917177BA55A,8F43CF77-AA8E-4B16-BC69-DCEEA5101A2C,0,2
A94FF45A-AF49-444E-A367-69A499BF757E,901DC944-B0AC-4E7B-BF4D-E5EF8CD12A98,35974,3
B654A893-6AED-45F5-BD4A-6F10527649F2,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
80930F65-35AB-49BC-97EA-6FA803AEAF21,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
89CC65DB-8FFE-434D-B90E-7D502AF5C1A3,62D48902-A27F-4C58-8BCA-4B131418B8E2,10300,3
D6F17E59-7281-49CD-8CAB-7E48DCE6F6CE,901DC944-B0AC-4E7B-BF4D-E5EF8CD12A98,0,3
5EF203F5-1631-4700-8168-7E592145108D,62D48902-A27F-4C58-8BCA-4B131418B8E2,2150,3
B4304AC2-94A1-403C-B870-87C1030C2AF9,A94FF45A-AF49-444E-A367-69A499BF757E,10687,4
35575507-4017-4FEC-98C0-8ED252C5AD61,62D48902-A27F-4C58-8BCA-4B131418B8E2,1330,3
2A2B14D0-55EF-4694-91C4-91030AB3F672,A94FF45A-AF49-444E-A367-69A499BF757E,1457,4
3E68DBF9-B352-4F2A-9A7A-910CA5B4372D,66747918-3562-4958-BF13-B70EEF337145,0,3
228B6D49-CFD5-41E4-8925-936BD159BDCA,NULL,0,0
DD1A11CB-86FA-43F4-872A-9EF63B56ECAF,F07090EC-B3CA-4D92-851F-48EAE4F2AF14,0,4
A82D24E8-7F7E-42BB-A923-A0038B05F042,8F43CF77-AA8E-4B16-BC69-DCEEA5101A2C,0,2
50C64C42-F0D1-4466-88FC-A1943A8183DE,62D48902-A27F-4C58-8BCA-4B131418B8E2,7800,3
DC8F2713-AC97-42BA-B321-A3CF155644F8,DD5EF4E3-5AB3-4E53-B022-DA15033B3B99,0,4
0E9516C1-A2AC-4FF6-A917-A8D7C9B99CB6,NULL,136259,0
340F02C6-C723-4C85-9413-AE2EC0CA39E6,A94FF45A-AF49-444E-A367-69A499BF757E,415,4
6CC10CA9-F94E-4A7D-963C-B2AF6F5C9A04,66747918-3562-4958-BF13-B70EEF337145,1943,3
66747918-3562-4958-BF13-B70EEF337145,2403B178-CFE1-409F-AC98-4FF4F7061CB6,45737,2
7595EDBF-299C-42D7-A2A1-B9460EEBF5EE,F07090EC-B3CA-4D92-851F-48EAE4F2AF14,0,4
35EF19A8-64DB-4018-BBBC-B97DE06809B9,62D48902-A27F-4C58-8BCA-4B131418B8E2,2800,3
36BC1A38-4D88-486B-9FEC-C15AACC7460F,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
274C1B15-749E-4E07-87DA-C2EC9B57FB26,F07090EC-B3CA-4D92-851F-48EAE4F2AF14,0,4
E3FB335D-BF9E-433F-B370-C4D9BCD63A05,A94FF45A-AF49-444E-A367-69A499BF757E,2915,4
59ACD2AB-F9CF-4D3F-B337-C5F463B4EE64,66747918-3562-4958-BF13-B70EEF337145,14572,3
C1AE4E8C-5762-4051-AD3C-D0A521F8F612,66747918-3562-4958-BF13-B70EEF337145,0,3
026C1646-B5E7-43E5-86B7-D7A7B03B2100,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
DD5EF4E3-5AB3-4E53-B022-DA15033B3B99,66747918-3562-4958-BF13-B70EEF337145,0,3
8F43CF77-AA8E-4B16-BC69-DCEEA5101A2C,0E9516C1-A2AC-4FF6-A917-A8D7C9B99CB6,34000,1
83F00D65-A1A6-4DAE-A8F2-DEF4D2209705,7F1599B3-D610-48E4-9F8A-E83476AC7ECB,9714,4
4297D61A-6AE5-40CA-A8F2-DF08F40D9650,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
EBC03CC6-28D7-413D-8EA1-E44F81A28F30,2403B178-CFE1-409F-AC98-4FF4F7061CB6,10687,2
901DC944-B0AC-4E7B-BF4D-E5EF8CD12A98,2403B178-CFE1-409F-AC98-4FF4F7061CB6,45835,2
4A0662D2-806E-4B39-9745-E7358B7066D8,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
7F1599B3-D610-48E4-9F8A-E83476AC7ECB,901DC944-B0AC-4E7B-BF4D-E5EF8CD12A98,9861,3
75B67FC1-E0C4-4909-AD40-F8F6D0978E01,A94FF45A-AF49-444E-A367-69A499BF757E,16516,4
